	"all-average"	"gcrypt"	"mcrypt"	"botan"	"cryptopp"	"openssl"	"nettle"	"beecrypt"	"tomcrypt"	"custom"	"average"
	"3des"	2,364	1,668	3,542	3,628	6,775	1,691		3,297		3,281
	"anubis"								15,162		15,162
	"blowfish"	5,166	16,936	17,824	22,657	26,135	16,742	27,997	29,498		20,369
	"cast5"	10,879	18,074	15,546	6,101	18,533	15,445		24,094		15,525
	"cast6"		10,997	6,905	4,167						7,356
	"gost"		8,294	8,896	5,515						7,568
	"khazad"								10,295		10,295
	"loki97"		4,098								4,098
	"noekeon"								18,708		18,708
	"rijndael"	8,571	6,165	11,625	11,011	25,356	18,960	13,547	22,567	20,328	15,348
	"saferplus"		2,527						1,948		2,237
	"serpent"	4,123	5,760	5,629	3,468		5,038			16,372	6,732
	"skipjack"								4,779		4,779
	"twofish"	10,779	16,850	13,251	5,353		14,113		21,292		13,607
"lineb"	"xtea"		6,528	12,626	6,047				14,274		9,869
	"average"	6,980	8,900	10,649	7,550	19,200	11,998	20,772	15,083	18,350	11,609
